genome_id	Source	Source2	Serotype	STX
2017-GTA-0166	Meat	Meat	O157:H7	Stx2a,Stx1a
2014-SEQ-0456	Dairy	Dairy	O157:H7	Stx1a,Stx2a
2017-MER-0516	Dairy	Dairy	O157:H7	Stx1a,Stx2a
2014-SEQ-0445	Meat	Meat	O157:H7	Stx2a,Stx1a
2017-NML-0030	Meat	Meat	O157:H7	Stx2a,Stx1a
2017-NML-0032	Meat	Meat	O157:H7	Stx2a,Stx1a
2014-SEQ-0449	Meat	Meat	O157:H7	Stx2a,Stx1a
2017-MER-0518	Dairy	Dairy	O157:H7	Stx1a,Stx2a
2016-BUR-0137	Meat	Meat	O157:H7	Stx2a,Stx1a
2016-BUR-0138	Other	Other	O157:H7	Stx2a,Stx1a
2015-SEQ-1048	Meat	Meat	O157:H7	Stx2a,Stx1a
2017-MER-0049	Meat	Meat	O157:H7	Stx2a,Stx1a
2017-MER-0037	Meat	Meat	O157:H7	Stx1a,Stx2a
2016-BUR-0141	Meat	Meat	O157:H7	Stx2a,Stx1a
2014-SEQ-1302	Meat	Meat	O157:H7	Stx2a,Stx1a
2018-SEQ-0371	Meat	Meat	O26:H32	ND
2017-MER-0543	Vegetable	Vegetable	O157:H7	Stx1a,Stx2a
2016-SEQ-0255	Nuts/Seeds	Nuts/Seeds	O168:H8	Stx2a
2017-SEQ-0384	Meat	Meat	O55:H12	Stx1a
2017-BUR-0049	Flour	Flour	O159:H19	Stx2a
2016-SEQ-0055	Meat	Meat	O113:H21	Stx2d
2017-CAL-0226	Meat	Meat	O157:H7	Stx1a,Stx2c
2017-GTA-0164	Meat	Meat	O157:H7	Stx1a,Stx2a
2017-DAR-0088	Meat	Meat	O76:H19	Stx1c
2015-SEQ-1555	Meat	Meat	O91:H14	Stx1a
GCA_012140305.1	Meat	Meat	O157:H7	Stx2a,Stx1a
2018-GTA-0107	Flour	Flour	O8:H19	Stx2a
2017-CAL-0335	Flour	Flour	O88:H25	Stx2a,Stx1a
GCA_012149165.1	Meat	Meat	O157:H7	Stx2a,Stx1a
2017-CAL-0120	Meat	Meat	O157:H7	Stx2c
2016-SEQ-0057	Meat	Meat	O113:H21	Stx2d
2017-CAL-0230	Meat	Meat	O157:H7	Stx2a,Stx1a
2021-MIN-0252	Meat	Lamb	OUT:H21	Stx2i
2017-MER-0542	Meat	Meat	O157:H7	Stx2c
2016-SEQ-1338	Meat	Meat	O8:H2	Stx2b
2019-MER-0054	Meat	Lamb	O5:H19	Stx2b,Stx1c
2017-SEQ-0388	Meat	Meat	OUT:H20	Stx2a,Stx1a
GCA_012140325.1	Meat	Meat	O157:H7	Stx2a
2017-MER-0170	Meat	Meat	O113:H21	Stx2d
2014-SEQ-1301	Nuts/Seeds	Nuts/Seeds	O159:H19	Stx2a
2019-MER-0212	Meat	Meat	O157:H7	Stx1a,Stx2a
2014-SEQ-1298	Nuts/Seeds	Nuts/Seeds	O159:H19	Stx2a
2019-BUR-0118	Meat	Meat	O159:H19	Stx2k,Stx2a
2014-SEQ-1305	Meat	Meat	O157:H7	Stx2a
2017-CAL-0227	Meat	Meat	O157:H7	Stx2a,Stx1a
2017-NML-0047	Environment	Environment	O157:H7	Stx2a,Stx1a
2015-SEQ-0964	Meat	Meat	O157:H7	Stx2a,Stx1a
2017-MER-0403	Meat	Meat	O157:H7	Stx2a,Stx1a
2017-MER-0336	Meat	Meat	O157:H7	Stx1a,Stx2a
2014-SEQ-0184	Meat	Meat	O157:H7	Stx2a
2017-MER-0377	Meat	Meat	O157:H7	Stx2a
2019-MER-0213	Meat	Meat	O157:H7	Stx2a
2015-SEQ-1868	Meat	Meat	O157:H7	Stx2a
2016-SEQ-0250	Meat	Meat	O157:H7	Stx2a,Stx1a
2017-NML-0033	Meat	Meat	O157:H7	Stx2a,Stx1a
2017-NML-0046	Environment	Environment	O157:H7	Stx2a,Stx1a
2017-HCLON-0011	Meat	Meat	O157:H7	Stx1a,Stx2a
2015-SEQ-1850	Meat	Meat	O157:H7	Stx2a,Stx1a
2017-MER-0335	Meat	Meat	O157:H7	Stx2a,Stx1a
2014-SEQ-0186	Meat	Meat	O157:H7	Stx1a,Stx2c
2016-SEQ-0251	Meat	Meat	O157:H7	Stx2c
2017-HCLON-0013	Meat	Meat	O185:H7	Stx2c
2017-SEQ-0386	Nuts/Seeds	Nuts/Seeds	O8:H19	Stx2a
2016-SEQ-1356	Flour	Flour	O8:H28	Stx2a
2017-SEQ-0059	Flour	Flour	O8:H28	Stx2a
2017-SEQ-0210	Meat	Meat	OUT:H29	Stx2d
2013-SEQ-0109	Meat	Meat	O157:H7	Stx2a
2019-SEQ-0356	Meat	Lamb	O5:H19	Stx1c
2017-BUR-0001	Flour	Flour	O8:H28	Stx2a
2016-SEQ-0016	Meat	Meat	O115:H10	Stx1a
2017-SEQ-0209	Meat	Meat	OUT:H29	Stx2d
2017-CAL-0287	Flour	Flour	O8:H28	Stx2a
2017-MER-0171	Flour	Flour	O8:H28	Stx2a
2016-SEQ-0254	Nuts/Seeds	Nuts/Seeds	O174:H21	Stx2c
2016-SEQ-0420	Nuts/Seeds	Nuts/Seeds	O142:H38	Stx1d
2018-STH-0259	Meat	Meat	O183:H18	Stx2a,Stx1a
2017-GTA-0167	Nuts/Seeds	Nuts/Seeds	O157:H7	Stx2a
2016-SEQ-1089	Meat	Meat	O109:H5	Stx1a
2020-DAR-0029	Meat	Meat	O87:H16	Stx2b,Stx2b
2017-GTA-0244	Meat	Meat	O78:H16	Stx1a
2017-SEQ-0389	Meat	Meat	O78:H16	Stx1a
2016-SEQ-0053	Meat	Meat	O87:H16	Stx2b
2016-SEQ-0252	Vegetable	Vegetable	O177:NM	Stx2h
2014-SEQ-0349	Vegetable	Vegetable	OUT:H23	Stx2j
2017-MER-0036	Meat	Meat	O157:H7	Stx1a,Stx2a
