Genome_ID	Database	Virulence factor	Identity	Query / Template length	Contig	Position in contig	Protein function	Accession number
GCA_021079095.1	virulence_ecoli	traJ	98.84	687 / 687	"JAHWLP010000007.1 Escherichia coli strain 6_A_4_1_1 NODE_7_length_61176_cov_14.727629, whole genome shotgun sequence"	47924..48610	  Protein TraJ (Positive regulator of conjugal transfer operon)	CP007150
GCA_021079095.1	virulence_ecoli	traT	100	732 / 732	"JAHWLP010000007.1 Escherichia coli strain 6_A_4_1_1 NODE_7_length_61176_cov_14.727629, whole genome shotgun sequence"	26373..27104	  Outer membrane protein complement resistance	CP009167
GCA_021079095.1	virulence_ecoli	yehA	98.26	1035 / 1035	"JAHWLP010000177.1 Escherichia coli strain 6_A_4_1_1 NODE_177_length_9828_cov_3.828677, whole genome shotgun sequence"	7443..8477	"  Outer membrane lipoprotein, YHD fimbriael cluster"	CP042934
GCA_021079095.1	virulence_ecoli	yehB	98.71	2481 / 2481	"JAHWLP010000177.1 Escherichia coli strain 6_A_4_1_1 NODE_177_length_9828_cov_3.828677, whole genome shotgun sequence"	4947..7427	" Usher, YHD fimbriael cluster"	CP042934
GCA_021079095.1	virulence_ecoli	yehC	97.63	675 / 675	"JAHWLP010000177.1 Escherichia coli strain 6_A_4_1_1 NODE_177_length_9828_cov_3.828677, whole genome shotgun sequence"	4257..4931	" Chaperone, YHD fimbriael cluster"	CP042934
GCA_021079095.1	virulence_ecoli	yehD	98.71	543 / 543	"JAHWLP010000177.1 Escherichia coli strain 6_A_4_1_1 NODE_177_length_9828_cov_3.828677, whole genome shotgun sequence"	3635..4177	" Major pilin subunit, YHD fimbriael cluster"	CP042934
GCA_021079095.1	stx	stx2	99.6	1242 / 1242	"JAHWLP010000023.1 Escherichia coli strain 6_A_4_1_1 NODE_23_length_39449_cov_4.167616, whole genome shotgun sequence"	33650..34891	"O9 CB10366, variant i"	FN252457
GCA_021079545.1	virulence_ecoli	AslA	94.09	1657 / 1656	"JAHVPD010000031.1 Escherichia coli strain 22_B_26_1_1 NODE_31_length_51639_cov_42.244564, whole genome shotgun sequence"	34968..36623		CP054236
GCA_021079545.1	virulence_ecoli	cba	99.93	1536 / 1536	"JAHVPD010000033.1 Escherichia coli strain 22_B_26_1_1 NODE_33_length_49737_cov_65.917315, whole genome shotgun sequence"	37375..38910	  Colicin B	FJ664743
GCA_021079545.1	virulence_ecoli	cia	100	147 / 147	"JAHVPD010000033.1 Escherichia coli strain 22_B_26_1_1 NODE_33_length_49737_cov_65.917315, whole genome shotgun sequence"	46339..46485	  Colicin ia	QMGM01000002
GCA_021079545.1	virulence_ecoli	cma	99.75	816 / 816	"JAHVPD010000033.1 Escherichia coli strain 22_B_26_1_1 NODE_33_length_49737_cov_65.917315, whole genome shotgun sequence"	39699..40514	  Colicin M activity	FJ664724
GCA_021079545.1	virulence_ecoli	csgA	100	456 / 456	"JAHVPD010000006.1 Escherichia coli strain 22_B_26_1_1 NODE_6_length_157441_cov_32.264598, whole genome shotgun sequence"	64411..64866	 curlin major subunit CsgA	CP069646
GCA_021079545.1	virulence_ecoli	eltIIAB-a	98.33	1141 / 1141	"JAHVPD010000061.1 Escherichia coli strain 22_B_26_1_1 NODE_61_length_22165_cov_28.934205, whole genome shotgun sequence"	5061..6201	   Heat-labile enterotoxin LTII-a	JQ031711
GCA_021079545.1	virulence_ecoli	fdeC	92.86	4258 / 4254	"JAHVPD010000028.1 Escherichia coli strain 22_B_26_1_1 NODE_28_length_64251_cov_36.856481, whole genome shotgun sequence"	750..5000	 intimin-like adhesin FdeC	AP010953
GCA_021079545.1	virulence_ecoli	fimH	100	489 / 489	"JAHVPD010000049.1 Escherichia coli strain 22_B_26_1_1 NODE_49_length_32772_cov_40.635411, whole genome shotgun sequence"	22567..23055	   Type 1 fimbriae	NA
GCA_021079545.1	virulence_ecoli	gad	100	1401 / 1401	"JAHVPD010000010.1 Escherichia coli strain 22_B_26_1_1 NODE_10_length_121131_cov_42.585014, whole genome shotgun sequence"	75973..77373	  Glutamate decarboxylase	AP010953
GCA_021079545.1	virulence_ecoli	gad	99.93	1401 / 1401	"JAHVPD010000041.1 Escherichia coli strain 22_B_26_1_1 NODE_41_length_39151_cov_28.767271, whole genome shotgun sequence"	18590..19990	  Glutamate decarboxylase	U00096
GCA_021079545.1	virulence_ecoli	hlyE	97.82	919 / 918	"JAHVPD010000027.1 Escherichia coli strain 22_B_26_1_1 NODE_27_length_66358_cov_31.254126, whole genome shotgun sequence"	8852..9758	  Avian E. coli haemolysin	ECU57430
GCA_021079545.1	virulence_ecoli	iss	98.5	267 / 294	"JAHVPD010000072.1 Escherichia coli strain 22_B_26_1_1 NODE_72_length_15019_cov_35.177209, whole genome shotgun sequence"	14637..14903	  Increased serum survival	CP001846
GCA_021079545.1	virulence_ecoli	nlpI	99.77	885 / 885	"JAHVPD010000014.1 Escherichia coli strain 22_B_26_1_1 NODE_14_length_114672_cov_38.881243, whole genome shotgun sequence"	56368..57252	  lipoprotein NlpI precursor	CP000243
GCA_021079545.1	virulence_ecoli	stx2i-O9-CB10366	99.6	1242 / 1242	"JAHVPD010000024.1 Escherichia coli strain 22_B_26_1_1 NODE_24_length_72497_cov_45.438897, whole genome shotgun sequence"	55077..56318	   stx2i-O9-CB10366	FN252457
GCA_021079545.1	virulence_ecoli	terC	100	714 / 714	"JAHVPD010000003.1 Escherichia coli strain 22_B_26_1_1 NODE_3_length_219173_cov_37.957233, whole genome shotgun sequence"	70218..70931	  Tellurium ion resistance protein	CP007491
GCA_021079545.1	virulence_ecoli	terC	99.9	959 / 966	"JAHVPD010000063.1 Escherichia coli strain 22_B_26_1_1 NODE_63_length_19283_cov_40.247129, whole genome shotgun sequence"	13860..14818	  Tellurium ion resistance protein	MG591698
GCA_021079545.1	virulence_ecoli	traJ	98.69	687 / 687	"JAHVPD010000033.1 Escherichia coli strain 22_B_26_1_1 NODE_33_length_49737_cov_65.917315, whole genome shotgun sequence"	15988..16674	  Protein TraJ (Positive regulator of conjugal transfer operon)	CP007150
GCA_021079545.1	virulence_ecoli	traT	100	732 / 732	"JAHVPD010000066.1 Escherichia coli strain 22_B_26_1_1 NODE_66_length_16961_cov_60.039800, whole genome shotgun sequence"	11141..11872	  Outer membrane protein complement resistance	CP009167
GCA_021079545.1	virulence_ecoli	yehA	98.26	1035 / 1035	"JAHVPD010000002.1 Escherichia coli strain 22_B_26_1_1 NODE_2_length_244394_cov_33.598734, whole genome shotgun sequence"	87014..88048	"  Outer membrane lipoprotein, YHD fimbriael cluster"	CP042934
GCA_021079545.1	virulence_ecoli	yehB	98.71	2481 / 2481	"JAHVPD010000002.1 Escherichia coli strain 22_B_26_1_1 NODE_2_length_244394_cov_33.598734, whole genome shotgun sequence"	88064..90544	" Usher, YHD fimbriael cluster"	CP042934
GCA_021079545.1	virulence_ecoli	yehC	97.63	675 / 675	"JAHVPD010000002.1 Escherichia coli strain 22_B_26_1_1 NODE_2_length_244394_cov_33.598734, whole genome shotgun sequence"	90560..91234	" Chaperone, YHD fimbriael cluster"	CP042934
GCA_021079545.1	virulence_ecoli	yehD	98.71	543 / 543	"JAHVPD010000002.1 Escherichia coli strain 22_B_26_1_1 NODE_2_length_244394_cov_33.598734, whole genome shotgun sequence"	91314..91856	" Major pilin subunit, YHD fimbriael cluster"	CP042934
GCA_021079545.1	stx	stx2	99.6	1242 / 1242	"JAHVPD010000024.1 Escherichia coli strain 22_B_26_1_1 NODE_24_length_72497_cov_45.438897, whole genome shotgun sequence"	55077..56318	"O9 CB10366, variant i"	FN252457
GCA_021079625.1	virulence_ecoli	AslA	94.09	1657 / 1656	"JAHVPH010000033.1 Escherichia coli strain 20_B_28_4_1 NODE_33_length_51639_cov_48.616303, whole genome shotgun sequence"	34968..36623		CP054236
GCA_021079625.1	virulence_ecoli	cba	99.87	1536 / 1536	"JAHVPH010000032.1 Escherichia coli strain 20_B_28_4_1 NODE_32_length_53654_cov_149.268762, whole genome shotgun sequence"	6610..8145	  Colicin B	FJ664743
GCA_021079625.1	virulence_ecoli	cia	100	147 / 147	"JAHVPH010000032.1 Escherichia coli strain 20_B_28_4_1 NODE_32_length_53654_cov_149.268762, whole genome shotgun sequence"	15574..15720	  Colicin ia	QMGM01000002
GCA_021079625.1	virulence_ecoli	cma	99.75	816 / 816	"JAHVPH010000032.1 Escherichia coli strain 20_B_28_4_1 NODE_32_length_53654_cov_149.268762, whole genome shotgun sequence"	8934..9749	  Colicin M activity	FJ664724
GCA_021079625.1	virulence_ecoli	csgA	100	456 / 456	"JAHVPH010000002.1 Escherichia coli strain 20_B_28_4_1 NODE_2_length_230414_cov_44.455314, whole genome shotgun sequence"	101005..101460	 curlin major subunit CsgA	CP069646
GCA_021079625.1	virulence_ecoli	eltIIAB-a	98.33	1141 / 1141	"JAHVPH010000056.1 Escherichia coli strain 20_B_28_4_1 NODE_56_length_28461_cov_41.446884, whole genome shotgun sequence"	5061..6201	   Heat-labile enterotoxin LTII-a	JQ031711
GCA_021079625.1	virulence_ecoli	fdeC	92.86	4258 / 4254	"JAHVPH010000030.1 Escherichia coli strain 20_B_28_4_1 NODE_30_length_61793_cov_46.498719, whole genome shotgun sequence"	9463..13713	 intimin-like adhesin FdeC	AP010953
GCA_021079625.1	virulence_ecoli	fimH	100	489 / 489	"JAHVPH010000061.1 Escherichia coli strain 20_B_28_4_1 NODE_61_length_25524_cov_48.767059, whole genome shotgun sequence"	22567..23055	   Type 1 fimbriae	NA
GCA_021079625.1	virulence_ecoli	gad	100	1401 / 1401	"JAHVPH010000012.1 Escherichia coli strain 20_B_28_4_1 NODE_12_length_121131_cov_48.935796, whole genome shotgun sequence"	43759..45159	  Glutamate decarboxylase	AP010953
GCA_021079625.1	virulence_ecoli	gad	99.93	1401 / 1401	"JAHVPH010000043.1 Escherichia coli strain 20_B_28_4_1 NODE_43_length_39151_cov_41.368850, whole genome shotgun sequence"	19162..20562	  Glutamate decarboxylase	U00096
GCA_021079625.1	virulence_ecoli	hlyE	97.82	919 / 918	"JAHVPH010000027.1 Escherichia coli strain 20_B_28_4_1 NODE_27_length_66159_cov_42.910089, whole genome shotgun sequence"	8653..9559	  Avian E. coli haemolysin	ECU57430
GCA_021079625.1	virulence_ecoli	iss	99.66	294 / 294	"JAHVPH010000051.1 Escherichia coli strain 20_B_28_4_1 NODE_51_length_32186_cov_45.559219, whole genome shotgun sequence"	14639..14932	  Increased serum survival	CP001846
GCA_021079625.1	virulence_ecoli	lpfA	100	573 / 573	"JAHVPH010000111.1 Escherichia coli strain 20_B_28_4_1 NODE_111_length_1662_cov_1.115309, whole genome shotgun sequence"	818..1390	  Long polar fimbriae	CP002185
GCA_021079625.1	virulence_ecoli	mchB	99.66	294 / 294	"JAHVPH010000040.1 Escherichia coli strain 20_B_28_4_1 NODE_40_length_42507_cov_46.557386, whole genome shotgun sequence"	28584..28877	  Microcin H47 part of colicin H	AJ009631
GCA_021079625.1	virulence_ecoli	mchC	99.94	1551 / 1551	"JAHVPH010000040.1 Escherichia coli strain 20_B_28_4_1 NODE_40_length_42507_cov_46.557386, whole genome shotgun sequence"	26762..28312	  MchC protein	FN554766
GCA_021079625.1	virulence_ecoli	mchF	99.71	2097 / 2097	"JAHVPH010000040.1 Escherichia coli strain 20_B_28_4_1 NODE_40_length_42507_cov_46.557386, whole genome shotgun sequence"	22769..24864	  ABC transporter protein MchF	FN554766
GCA_021079625.1	virulence_ecoli	mcmA	100	279 / 279	"JAHVPH010000040.1 Escherichia coli strain 20_B_28_4_1 NODE_40_length_42507_cov_46.557386, whole genome shotgun sequence"	22237..22515	  Microcin M part of colicin H	AJ515251
GCA_021079625.1	virulence_ecoli	nlpI	99.77	885 / 885	"JAHVPH010000013.1 Escherichia coli strain 20_B_28_4_1 NODE_13_length_116010_cov_47.021573, whole genome shotgun sequence"	57419..58303	  lipoprotein NlpI precursor	CP000243
GCA_021079625.1	virulence_ecoli	stx2i-O9-CB10366	99.6	1242 / 1242	"JAHVPH010000029.1 Escherichia coli strain 20_B_28_4_1 NODE_29_length_64062_cov_48.513396, whole genome shotgun sequence"	55077..56318	   stx2i-O9-CB10366	FN252457
GCA_021079625.1	virulence_ecoli	terC	100	714 / 714	"JAHVPH010000015.1 Escherichia coli strain 20_B_28_4_1 NODE_15_length_95989_cov_46.134568, whole genome shotgun sequence"	25058..25771	  Tellurium ion resistance protein	CP007491
GCA_021079625.1	virulence_ecoli	terC	99.9	959 / 966	"JAHVPH010000026.1 Escherichia coli strain 20_B_28_4_1 NODE_26_length_66242_cov_47.543371, whole genome shotgun sequence"	51423..52381	  Tellurium ion resistance protein	MG591698
GCA_021079625.1	virulence_ecoli	terC	100	1041 / 1041	"JAHVPH010000074.1 Escherichia coli strain 20_B_28_4_1 NODE_74_length_13918_cov_42.772460, whole genome shotgun sequence"	9877..10917	  Tellurium ion resistance protein	UINX01000003
GCA_021079625.1	virulence_ecoli	tia	99.73	738 / 738	"JAHVPH010000007.1 Escherichia coli strain 20_B_28_4_1 NODE_7_length_138221_cov_47.988884, whole genome shotgun sequence"	2913..3650	 Tia Invasion determinant	CP015995
GCA_021079625.1	virulence_ecoli	traJ	98.84	687 / 687	"JAHVPH010000059.1 Escherichia coli strain 20_B_28_4_1 NODE_59_length_27886_cov_149.492057, whole genome shotgun sequence"	12567..13253	  Protein TraJ (Positive regulator of conjugal transfer operon)	CP007150
GCA_021079625.1	virulence_ecoli	traT	100	732 / 732	"JAHVPH010000032.1 Escherichia coli strain 20_B_28_4_1 NODE_32_length_53654_cov_149.268762, whole genome shotgun sequence"	46481..47212	  Outer membrane protein complement resistance	CP009167
GCA_021079625.1	virulence_ecoli	yehA	98.26	1035 / 1035	"JAHVPH010000008.1 Escherichia coli strain 20_B_28_4_1 NODE_8_length_137749_cov_43.574356, whole genome shotgun sequence"	87014..88048	"  Outer membrane lipoprotein, YHD fimbriael cluster"	CP042934
GCA_021079625.1	virulence_ecoli	yehB	98.71	2481 / 2481	"JAHVPH010000008.1 Escherichia coli strain 20_B_28_4_1 NODE_8_length_137749_cov_43.574356, whole genome shotgun sequence"	88064..90544	" Usher, YHD fimbriael cluster"	CP042934
GCA_021079625.1	virulence_ecoli	yehC	97.63	675 / 675	"JAHVPH010000008.1 Escherichia coli strain 20_B_28_4_1 NODE_8_length_137749_cov_43.574356, whole genome shotgun sequence"	90560..91234	" Chaperone, YHD fimbriael cluster"	CP042934
GCA_021079625.1	virulence_ecoli	yehD	98.71	543 / 543	"JAHVPH010000008.1 Escherichia coli strain 20_B_28_4_1 NODE_8_length_137749_cov_43.574356, whole genome shotgun sequence"	91314..91856	" Major pilin subunit, YHD fimbriael cluster"	CP042934
GCA_021079625.1	stx	stx2	99.6	1242 / 1242	"JAHVPH010000029.1 Escherichia coli strain 20_B_28_4_1 NODE_29_length_64062_cov_48.513396, whole genome shotgun sequence"	55077..56318	"O9 CB10366, variant i"	FN252457
GCA_021080295.1	virulence_ecoli	AslA	94.09	1657 / 1656	"JAHVQO010000032.1 Escherichia coli strain 20_B_33_1_1 NODE_32_length_51639_cov_65.181142, whole genome shotgun sequence"	15017..16672		CP054236
GCA_021080295.1	virulence_ecoli	cba	99.87	1536 / 1536	"JAHVQO010000031.1 Escherichia coli strain 20_B_33_1_1 NODE_31_length_53663_cov_202.593899, whole genome shotgun sequence"	45519..47054	  Colicin B	FJ664743
GCA_021080295.1	virulence_ecoli	cia	100	147 / 147	"JAHVQO010000031.1 Escherichia coli strain 20_B_33_1_1 NODE_31_length_53663_cov_202.593899, whole genome shotgun sequence"	37944..38090	  Colicin ia	QMGM01000002
GCA_021080295.1	virulence_ecoli	cma	99.75	816 / 816	"JAHVQO010000031.1 Escherichia coli strain 20_B_33_1_1 NODE_31_length_53663_cov_202.593899, whole genome shotgun sequence"	43915..44730	  Colicin M activity	FJ664724
GCA_021080295.1	virulence_ecoli	csgA	100	456 / 456	"JAHVQO010000002.1 Escherichia coli strain 20_B_33_1_1 NODE_2_length_230230_cov_56.473844, whole genome shotgun sequence"	128771..129226	 curlin major subunit CsgA	CP069646
GCA_021080295.1	virulence_ecoli	eltIIAB-a	98.33	1141 / 1141	"JAHVQO010000055.1 Escherichia coli strain 20_B_33_1_1 NODE_55_length_28461_cov_55.369203, whole genome shotgun sequence"	5061..6201	   Heat-labile enterotoxin LTII-a	JQ031711
GCA_021080295.1	virulence_ecoli	fdeC	92.86	4258 / 4254	"JAHVQO010000029.1 Escherichia coli strain 20_B_33_1_1 NODE_29_length_61792_cov_61.712738, whole genome shotgun sequence"	48080..52330	 intimin-like adhesin FdeC	AP010953
GCA_021080295.1	virulence_ecoli	fimH	100	489 / 489	"JAHVQO010000060.1 Escherichia coli strain 20_B_33_1_1 NODE_60_length_25524_cov_64.549159, whole genome shotgun sequence"	22567..23055	   Type 1 fimbriae	NA
GCA_021080295.1	virulence_ecoli	gad	100	1401 / 1401	"JAHVQO010000013.1 Escherichia coli strain 20_B_33_1_1 NODE_13_length_121133_cov_66.172082, whole genome shotgun sequence"	75973..77373	  Glutamate decarboxylase	AP010953
GCA_021080295.1	virulence_ecoli	gad	99.93	1401 / 1401	"JAHVQO010000042.1 Escherichia coli strain 20_B_33_1_1 NODE_42_length_39151_cov_53.911849, whole genome shotgun sequence"	19162..20562	  Glutamate decarboxylase	U00096
GCA_021080295.1	virulence_ecoli	hlyE	97.82	919 / 918	"JAHVQO010000026.1 Escherichia coli strain 20_B_33_1_1 NODE_26_length_66159_cov_55.136737, whole genome shotgun sequence"	56601..57507	  Avian E. coli haemolysin	ECU57430
GCA_021080295.1	virulence_ecoli	iss	99.66	294 / 294	"JAHVQO010000050.1 Escherichia coli strain 20_B_33_1_1 NODE_50_length_32186_cov_59.226270, whole genome shotgun sequence"	14639..14932	  Increased serum survival	CP001846
GCA_021080295.1	virulence_ecoli	mchB	99.66	294 / 294	"JAHVQO010000039.1 Escherichia coli strain 20_B_33_1_1 NODE_39_length_42507_cov_63.658589, whole genome shotgun sequence"	28584..28877	  Microcin H47 part of colicin H	AJ009631
GCA_021080295.1	virulence_ecoli	mchC	99.94	1551 / 1551	"JAHVQO010000039.1 Escherichia coli strain 20_B_33_1_1 NODE_39_length_42507_cov_63.658589, whole genome shotgun sequence"	26762..28312	  MchC protein	FN554766
GCA_021080295.1	virulence_ecoli	mchF	99.71	2097 / 2097	"JAHVQO010000039.1 Escherichia coli strain 20_B_33_1_1 NODE_39_length_42507_cov_63.658589, whole genome shotgun sequence"	22769..24864	  ABC transporter protein MchF	FN554766
GCA_021080295.1	virulence_ecoli	mcmA	100	279 / 279	"JAHVQO010000039.1 Escherichia coli strain 20_B_33_1_1 NODE_39_length_42507_cov_63.658589, whole genome shotgun sequence"	22237..22515	  Microcin M part of colicin H	AJ515251
GCA_021080295.1	virulence_ecoli	nlpI	99.77	885 / 885	"JAHVQO010000014.1 Escherichia coli strain 20_B_33_1_1 NODE_14_length_116010_cov_63.563551, whole genome shotgun sequence"	57708..58592	  lipoprotein NlpI precursor	CP000243
GCA_021080295.1	virulence_ecoli	stx2i-O9-CB10366	99.6	1242 / 1242	"JAHVQO010000028.1 Escherichia coli strain 20_B_33_1_1 NODE_28_length_64062_cov_66.061453, whole genome shotgun sequence"	7745..8986	   stx2i-O9-CB10366	FN252457
GCA_021080295.1	virulence_ecoli	terC	100	714 / 714	"JAHVQO010000004.1 Escherichia coli strain 20_B_33_1_1 NODE_4_length_173363_cov_62.432606, whole genome shotgun sequence"	25058..25771	  Tellurium ion resistance protein	CP007491
GCA_021080295.1	virulence_ecoli	terC	99.9	959 / 966	"JAHVQO010000025.1 Escherichia coli strain 20_B_33_1_1 NODE_25_length_66242_cov_63.496710, whole genome shotgun sequence"	13862..14820	  Tellurium ion resistance protein	MG591698
GCA_021080295.1	virulence_ecoli	terC	100	1041 / 1041	"JAHVQO010000007.1 Escherichia coli strain 20_B_33_1_1 NODE_7_length_152903_cov_65.497611, whole genome shotgun sequence"	141796..142836	  Tellurium ion resistance protein	UINX01000003
GCA_021080295.1	virulence_ecoli	tia	99.73	738 / 738	"JAHVQO010000007.1 Escherichia coli strain 20_B_33_1_1 NODE_7_length_152903_cov_65.497611, whole genome shotgun sequence"	134572..135309	 Tia Invasion determinant	CP015995
GCA_021080295.1	virulence_ecoli	traJ	98.84	687 / 687	"JAHVQO010000058.1 Escherichia coli strain 20_B_33_1_1 NODE_58_length_27886_cov_201.880759, whole genome shotgun sequence"	12567..13253	  Protein TraJ (Positive regulator of conjugal transfer operon)	CP007150
GCA_021080295.1	virulence_ecoli	traT	100	732 / 732	"JAHVQO010000031.1 Escherichia coli strain 20_B_33_1_1 NODE_31_length_53663_cov_202.593899, whole genome shotgun sequence"	6443..7174	  Outer membrane protein complement resistance	CP009167
GCA_021080295.1	virulence_ecoli	yehA	98.26	1035 / 1035	"JAHVQO010000009.1 Escherichia coli strain 20_B_33_1_1 NODE_9_length_136504_cov_57.327335, whole genome shotgun sequence"	87014..88048	"  Outer membrane lipoprotein, YHD fimbriael cluster"	CP042934
GCA_021080295.1	virulence_ecoli	yehB	98.71	2481 / 2481	"JAHVQO010000009.1 Escherichia coli strain 20_B_33_1_1 NODE_9_length_136504_cov_57.327335, whole genome shotgun sequence"	88064..90544	" Usher, YHD fimbriael cluster"	CP042934
GCA_021080295.1	virulence_ecoli	yehC	97.63	675 / 675	"JAHVQO010000009.1 Escherichia coli strain 20_B_33_1_1 NODE_9_length_136504_cov_57.327335, whole genome shotgun sequence"	90560..91234	" Chaperone, YHD fimbriael cluster"	CP042934
GCA_021080295.1	virulence_ecoli	yehD	98.71	543 / 543	"JAHVQO010000009.1 Escherichia coli strain 20_B_33_1_1 NODE_9_length_136504_cov_57.327335, whole genome shotgun sequence"	91314..91856	" Major pilin subunit, YHD fimbriael cluster"	CP042934
GCA_021080295.1	stx	stx2	99.6	1242 / 1242	"JAHVQO010000028.1 Escherichia coli strain 20_B_33_1_1 NODE_28_length_64062_cov_66.061453, whole genome shotgun sequence"	7745..8986	"O9 CB10366, variant i"	FN252457
GCA_021081115.1	virulence_ecoli	AslA	94.09	1657 / 1656	"JAHVSA010000029.1 Escherichia coli strain 11_A_12_2_1 NODE_29_length_52293_cov_62.860369, whole genome shotgun sequence"	15670..17325		CP054236
GCA_021081115.1	virulence_ecoli	cba	99.93	1536 / 1536	"JAHVSA010000059.1 Escherichia coli strain 11_A_12_2_1 NODE_59_length_18971_cov_82.638293, whole genome shotgun sequence"	6610..8145	  Colicin B	FJ664743
GCA_021081115.1	virulence_ecoli	cia	100	147 / 147	"JAHVSA010000059.1 Escherichia coli strain 11_A_12_2_1 NODE_59_length_18971_cov_82.638293, whole genome shotgun sequence"	15574..15720	  Colicin ia	QMGM01000002
GCA_021081115.1	virulence_ecoli	cma	99.75	816 / 816	"JAHVSA010000059.1 Escherichia coli strain 11_A_12_2_1 NODE_59_length_18971_cov_82.638293, whole genome shotgun sequence"	8934..9749	  Colicin M activity	FJ664724
GCA_021081115.1	virulence_ecoli	csgA	100	456 / 456	"JAHVSA010000001.1 Escherichia coli strain 11_A_12_2_1 NODE_1_length_296129_cov_47.999807, whole genome shotgun sequence"	166904..167359	 curlin major subunit CsgA	CP069646
GCA_021081115.1	virulence_ecoli	eltIIAB-a	98.33	1141 / 1141	"JAHVSA010000051.1 Escherichia coli strain 11_A_12_2_1 NODE_51_length_28461_cov_44.636620, whole genome shotgun sequence"	5061..6201	   Heat-labile enterotoxin LTII-a	JQ031711
GCA_021081115.1	virulence_ecoli	fdeC	92.86	4258 / 4254	"JAHVSA010000016.1 Escherichia coli strain 11_A_12_2_1 NODE_16_length_111581_cov_56.100696, whole genome shotgun sequence"	48080..52330	 intimin-like adhesin FdeC	AP010953
GCA_021081115.1	virulence_ecoli	fimH	100	489 / 489	"JAHVSA010000045.1 Escherichia coli strain 11_A_12_2_1 NODE_45_length_32770_cov_60.213675, whole genome shotgun sequence"	22567..23055	   Type 1 fimbriae	NA
GCA_021081115.1	virulence_ecoli	gad	100	1401 / 1401	"JAHVSA010000014.1 Escherichia coli strain 11_A_12_2_1 NODE_14_length_121134_cov_61.403555, whole genome shotgun sequence"	43759..45159	  Glutamate decarboxylase	AP010953
GCA_021081115.1	virulence_ecoli	gad	99.93	1401 / 1401	"JAHVSA010000039.1 Escherichia coli strain 11_A_12_2_1 NODE_39_length_39152_cov_43.177886, whole genome shotgun sequence"	18591..19991	  Glutamate decarboxylase	U00096
GCA_021081115.1	virulence_ecoli	hlyE	97.82	919 / 918	"JAHVSA010000001.1 Escherichia coli strain 11_A_12_2_1 NODE_1_length_296129_cov_47.999807, whole genome shotgun sequence"	56600..57506	  Avian E. coli haemolysin	ECU57430
GCA_021081115.1	virulence_ecoli	iss	99.66	294 / 294	"JAHVSA010000046.1 Escherichia coli strain 11_A_12_2_1 NODE_46_length_32187_cov_49.015440, whole genome shotgun sequence"	14640..14933	  Increased serum survival	CP001846
GCA_021081115.1	virulence_ecoli	mchB	99.66	294 / 294	"JAHVSA010000033.1 Escherichia coli strain 11_A_12_2_1 NODE_33_length_45023_cov_55.134867, whole genome shotgun sequence"	4555..4848	  Microcin H47 part of colicin H	AJ009631
GCA_021081115.1	virulence_ecoli	mchC	99.94	1551 / 1551	"JAHVSA010000033.1 Escherichia coli strain 11_A_12_2_1 NODE_33_length_45023_cov_55.134867, whole genome shotgun sequence"	5120..6670	  MchC protein	FN554766
GCA_021081115.1	virulence_ecoli	mchF	99.76	2097 / 2097	"JAHVSA010000033.1 Escherichia coli strain 11_A_12_2_1 NODE_33_length_45023_cov_55.134867, whole genome shotgun sequence"	8568..10664	  ABC transporter protein MchF	FN554766
GCA_021081115.1	virulence_ecoli	mcmA	100	279 / 279	"JAHVSA010000033.1 Escherichia coli strain 11_A_12_2_1 NODE_33_length_45023_cov_55.134867, whole genome shotgun sequence"	10918..11196	  Microcin M part of colicin H	AJ515251
GCA_021081115.1	virulence_ecoli	nlpI	99.77	885 / 885	"JAHVSA010000004.1 Escherichia coli strain 11_A_12_2_1 NODE_4_length_224393_cov_58.853036, whole genome shotgun sequence"	108117..109001	  lipoprotein NlpI precursor	CP000243
GCA_021081115.1	virulence_ecoli	stx2i-O9-CB10366	99.6	1242 / 1242	"JAHVSA010000027.1 Escherichia coli strain 11_A_12_2_1 NODE_27_length_57792_cov_59.372045, whole genome shotgun sequence"	55077..56318	   stx2i-O9-CB10366	FN252457
GCA_021081115.1	virulence_ecoli	terC	100	714 / 714	"JAHVSA010000003.1 Escherichia coli strain 11_A_12_2_1 NODE_3_length_248630_cov_57.456401, whole genome shotgun sequence"	177700..178413	  Tellurium ion resistance protein	CP007491
GCA_021081115.1	virulence_ecoli	terC	99.9	959 / 966	"JAHVSA010000004.1 Escherichia coli strain 11_A_12_2_1 NODE_4_length_224393_cov_58.853036, whole genome shotgun sequence"	180024..180982	  Tellurium ion resistance protein	MG591698
GCA_021081115.1	virulence_ecoli	terC	100	1041 / 1041	"JAHVSA010000003.1 Escherichia coli strain 11_A_12_2_1 NODE_3_length_248630_cov_57.456401, whole genome shotgun sequence"	10068..11108	  Tellurium ion resistance protein	UINX01000003
GCA_021081115.1	virulence_ecoli	tia	99.73	738 / 738	"JAHVSA010000003.1 Escherichia coli strain 11_A_12_2_1 NODE_3_length_248630_cov_57.456401, whole genome shotgun sequence"	17595..18332	 Tia Invasion determinant	CP015995
GCA_021081115.1	virulence_ecoli	traJ	98.69	687 / 687	"JAHVSA010000049.1 Escherichia coli strain 11_A_12_2_1 NODE_49_length_29250_cov_79.877107, whole genome shotgun sequence"	15987..16673	  Protein TraJ (Positive regulator of conjugal transfer operon)	CP007150
